id,check_time,instance_type,vcpus,sustained_clock_speed_ghz,memory_mib,gpus,on_demand_hibernation_support,burstable_performance_support,current_generation,interruption_rate
78,'03/26/2020 08:37',c4.2xlarge,8,2.9,15360,0,TRUE,FALSE,TRUE,unlikely
79,'03/26/2020 08:37',c5.2xlarge,8,3.4,16384,0,TRUE,FALSE,TRUE,unlikely
80,'03/26/2020 08:37',c5.2xlarge,8,3.4,16384,0,TRUE,FALSE,TRUE,unlikely
81,'03/26/2020 08:37',c5d.2xlarge,8,3.4,16384,0,FALSE,FALSE,TRUE,unlikely
82,'03/26/2020 08:37',m4.2xlarge,8,2.4,32768,0,TRUE,FALSE,TRUE,unlikely
83,'03/26/2020 08:37',m4.2xlarge,8,2.4,32768,0,TRUE,FALSE,TRUE,unlikely
84,'03/26/2020 08:37',m5.2xlarge,8,3.1,32768,0,TRUE,FALSE,TRUE,unlikely
85,'03/26/2020 08:37',r4.2xlarge,8,2.3,62464,0,TRUE,FALSE,TRUE,unlikely
86,'03/26/2020 08:37',r5.2xlarge,8,3.1,65536,0,TRUE,FALSE,TRUE,unlikely
87,'03/26/2020 08:37',t3.2xlarge,8,2.5,32768,0,FALSE,TRUE,TRUE,unlikely
88,'03/26/2020 08:37',t3a.2xlarge,8,2.2,32768,0,FALSE,TRUE,TRUE,unlikely
89,'03/26/2020 08:37',c4.8xlarge,36,2.9,61440,0,TRUE,FALSE,TRUE,unlikely
90,'03/26/2020 08:37',c5.9xlarge,36,3.4,73728,0,TRUE,FALSE,TRUE,unlikely
91,'03/26/2020 08:37',c5.12xlarge,48,3.6,98304,0,TRUE,FALSE,TRUE,unlikely
92,'03/26/2020 08:37',m5a.12xlarge,48,2.5,196608,0,FALSE,FALSE,TRUE,unlikely
93,'03/26/2020 08:37',m5a.12xlarge,48,2.5,196608,0,FALSE,FALSE,TRUE,unlikely
94,'03/26/2020 08:37',m5ad.12xlarge,48,2.2,196608,0,FALSE,FALSE,TRUE,unlikely
95,'03/26/2020 08:37',m5ad.12xlarge,48,2.2,196608,0,FALSE,FALSE,TRUE,unlikely
96,'03/26/2020 08:37',m5dn.12xlarge,48,3.1,196608,0,FALSE,FALSE,TRUE,unlikely
97,'03/26/2020 08:37',m5dn.12xlarge,48,3.1,196608,0,FALSE,FALSE,TRUE,unlikely
98,'03/26/2020 08:37',r5.12xlarge,48,3.1,393216,0,FALSE,FALSE,TRUE,unlikely
99,'03/26/2020 08:37',r5ad.12xlarge,48,2.2,393216,0,FALSE,FALSE,TRUE,unlikely
100,'03/26/2020 08:37',r5ad.12xlarge,48,2.2,393216,0,FALSE,FALSE,TRUE,unlikely
101,'03/26/2020 08:37',r5n.12xlarge,48,3.1,393216,0,FALSE,FALSE,TRUE,unlikely
102,'03/26/2020 08:37',r5n.12xlarge,48,3.1,393216,0,FALSE,FALSE,TRUE,unlikely
103,'03/26/2020 08:37',c5.18xlarge,72,3.4,147456,0,TRUE,FALSE,TRUE,unlikely
104,'03/26/2020 08:37',c5.24xlarge,96,3.6,196608,0,FALSE,FALSE,TRUE,unlikely
105,'03/26/2020 08:37',m5.24xlarge,96,3.1,393216,0,FALSE,FALSE,TRUE,unlikely
106,'03/26/2020 08:37',m5a.24xlarge,96,2.5,393216,0,FALSE,FALSE,TRUE,unlikely
107,'03/26/2020 08:37',m5a.24xlarge,96,2.5,393216,0,FALSE,FALSE,TRUE,unlikely
108,'03/26/2020 08:37',m5ad.24xlarge,96,2.2,393216,0,FALSE,FALSE,TRUE,unlikely
109,'03/26/2020 08:37',m5ad.24xlarge,96,2.2,393216,0,FALSE,FALSE,TRUE,unlikely
110,'03/26/2020 08:37',m5n.24xlarge,96,3.1,393216,0,FALSE,FALSE,TRUE,unlikely
111,'03/26/2020 08:37',m5n.24xlarge,96,3.1,393216,0,FALSE,FALSE,TRUE,unlikely
112,'03/26/2020 08:37',r5ad.24xlarge,96,2.2,786432,0,FALSE,FALSE,TRUE,unlikely
113,'03/26/2020 08:37',r5ad.24xlarge,96,2.2,786432,0,FALSE,FALSE,TRUE,unlikely
114,'03/26/2020 08:37',r5n.24xlarge,96,3.1,786432,0,FALSE,FALSE,TRUE,unlikely
115,'03/26/2020 08:37',r5n.24xlarge,96,3.1,786432,0,FALSE,FALSE,TRUE,unlikely
116,'03/26/2020 08:37',m5a.16xlarge,64,2.5,262144,0,FALSE,FALSE,TRUE,unlikely
117,'03/26/2020 08:37',m5a.16xlarge,64,2.5,262144,0,FALSE,FALSE,TRUE,unlikely
118,'03/26/2020 08:37',m5d.16xlarge,64,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
119,'03/26/2020 08:37',m5dn.16xlarge,64,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
120,'03/26/2020 08:37',m5dn.16xlarge,64,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
121,'03/26/2020 08:37',m3.large,2,2.5,7680,0,TRUE,FALSE,FALSE,unlikely
122,'03/26/2020 08:37',m3.large,2,2.5,7680,0,TRUE,FALSE,FALSE,unlikely
123,'03/26/2020 08:37',m3.medium,1,2.5,3840,0,TRUE,FALSE,FALSE,unlikely
124,'03/26/2020 08:37',m3.xlarge,4,2.5,15360,0,TRUE,FALSE,FALSE,unlikely
125,'03/26/2020 08:37',m3.xlarge,4,2.5,15360,0,TRUE,FALSE,FALSE,unlikely
126,'03/26/2020 08:37',c3.4xlarge,16,2.8,30720,0,TRUE,FALSE,FALSE,unlikely
127,'03/26/2020 08:37',c3.4xlarge,16,2.8,30720,0,TRUE,FALSE,FALSE,unlikely
128,'03/26/2020 08:37',r3.4xlarge,16,2.5,124928,0,TRUE,FALSE,FALSE,unlikely
129,'03/26/2020 08:37',r3.4xlarge,16,2.5,124928,0,TRUE,FALSE,FALSE,unlikely
130,'03/26/2020 08:37',c3.8xlarge,32,2.8,61440,0,TRUE,FALSE,FALSE,unlikely
131,'03/26/2020 08:37',c3.8xlarge,32,2.8,61440,0,TRUE,FALSE,FALSE,unlikely
132,'03/26/2020 08:37',r3.8xlarge,32,2.5,249856,0,FALSE,FALSE,FALSE,unlikely
133,'03/26/2020 08:37',r3.8xlarge,32,2.5,249856,0,FALSE,FALSE,FALSE,unlikely
134,'03/26/2020 08:37',c3.xlarge,4,2.8,7680,0,TRUE,FALSE,FALSE,unlikely
135,'03/26/2020 08:37',r3.xlarge,4,2.5,31232,0,TRUE,FALSE,FALSE,unlikely
136,'03/26/2020 08:37',r3.xlarge,4,2.5,31232,0,TRUE,FALSE,FALSE,unlikely
137,'03/26/2020 08:37',c3.large,2,2.8,3840,0,TRUE,FALSE,FALSE,unlikely
138,'03/26/2020 08:37',c3.large,2,2.8,3840,0,TRUE,FALSE,FALSE,unlikely
139,'03/26/2020 08:37',r3.large,2,2.5,15360,0,TRUE,FALSE,FALSE,unlikely
140,'03/26/2020 08:37',c3.2xlarge,8,2.8,15360,0,TRUE,FALSE,FALSE,unlikely
141,'03/26/2020 08:37',c3.2xlarge,8,2.8,15360,0,TRUE,FALSE,FALSE,unlikely
142,'03/26/2020 08:37',m3.2xlarge,8,2.5,30720,0,TRUE,FALSE,FALSE,unlikely
143,'03/26/2020 08:37',m3.2xlarge,8,2.5,30720,0,TRUE,FALSE,FALSE,unlikely
144,'03/26/2020 08:37',r3.2xlarge,8,2.5,62464,0,TRUE,FALSE,FALSE,unlikely
145,'03/26/2020 08:37',r3.2xlarge,8,2.5,62464,0,TRUE,FALSE,FALSE,unlikely
146,'03/26/2020 08:37',t2.2xlarge,8,2.3,32768,0,TRUE,TRUE,TRUE,unlikely
147,'03/26/2020 08:37',t2.micro,1,2.5,1024,0,TRUE,TRUE,TRUE,unlikely
148,'03/26/2020 08:37',t2.small,1,2.5,2048,0,TRUE,TRUE,TRUE,unlikely
149,'03/26/2020 08:37',c5.4xlarge,16,3.4,32768,0,TRUE,FALSE,TRUE,unlikely
150,'03/26/2020 08:37',c5d.4xlarge,16,3.4,32768,0,FALSE,FALSE,TRUE,unlikely
151,'03/26/2020 08:37',c5d.4xlarge,16,3.4,32768,0,FALSE,FALSE,TRUE,unlikely
152,'03/26/2020 08:37',g4dn.4xlarge,16,2.5,65536,1,FALSE,FALSE,TRUE,unlikely
153,'03/26/2020 08:37',m4.4xlarge,16,2.4,65536,0,TRUE,FALSE,TRUE,unlikely
154,'03/26/2020 08:37',m5d.4xlarge,16,3.1,65536,0,FALSE,FALSE,TRUE,unlikely
155,'03/26/2020 08:37',r5.4xlarge,16,3.1,131072,0,TRUE,FALSE,TRUE,unlikely
156,'03/26/2020 08:37',m5.8xlarge,32,3.1,131072,0,TRUE,FALSE,TRUE,unlikely
157,'03/26/2020 08:37',r5.8xlarge,32,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
158,'03/26/2020 08:37',c5d.xlarge,4,3.4,8192,0,FALSE,FALSE,TRUE,unlikely
159,'03/26/2020 08:37',g4dn.xlarge,4,2.5,16384,1,FALSE,FALSE,TRUE,unlikely
160,'03/26/2020 08:37',g4dn.xlarge,4,2.5,16384,1,FALSE,FALSE,TRUE,unlikely
161,'03/26/2020 08:37',i3en.xlarge,4,3.1,32768,0,FALSE,FALSE,TRUE,unlikely
162,'03/26/2020 08:37',i3en.xlarge,4,3.1,32768,0,FALSE,FALSE,TRUE,unlikely
163,'03/26/2020 08:37',m4.xlarge,4,2.4,16384,0,TRUE,FALSE,TRUE,unlikely
164,'03/26/2020 08:37',m5.xlarge,4,3.1,16384,0,TRUE,FALSE,TRUE,unlikely
